Subject_id,Subject_name,Subject_type_id
1,Я у світі,1
2,Я досліджую світ,1
3,Читання,1
4,Хімія,1
5,Фізична культура,1
6,Фізика та астрономія,1
7,Фізика,1
8,Українська мова,1
9,Трудове навчання,1
10,Технології,1
11,Рідна мова,1
12,Російська мова,1
13,Російська література,1
14,Природознавство,1
15,Правознавство,1
16,Українська література,1
17,Письмо,1
18,Основи здоров'я,1
19,Образотворче мистецтво,1
20,Німецька мова,1
21,Музичне мистецтво,1
22,Мистецтво,1
23,Математика,1
24,Захист Вітчизни,1
25,Зарубіжна література,1
26,Екологія,1
27,Дизайн і технології,1
28,Громадянська освіта,1
29,Геометрія,1
30,Географія,1
31,Всесвітня історія,1
32,Біологія та екологія,1
33,Біологія,1
34,Астрономія,1
35,Англійська мова,1
36,Алгебра,1
37,Історія України,1
38,Історія (інтегрований курс),1
39,Інформатика,1
